sport,league,event_id,event_starts_at,matchup,alt_type,market_type,market,selection,headline_side,team,player,player_id,market_id,outcome_id,line,book,price,decimal_price,implied_prob,l5_pct,l10_pct,season_pct,estimated_prob,conservative_prob,edge_pct,ev_pct,confidence_score,shadow_status,rejection_reasons,recommended_units_pre_news,portfolio_shadow_units,stable_wager_id,cap_reasons,actionable,board,scope,as_of
MLB,MLB,8a105b91f1d12e353b0236f2f946c271af63c996,2026-08-14T23:15:00+00:00,NYY @ TOR,TOTAL,TEAM_PROP,STRIKEOUTS,NYY STRIKEOUTS OVER 7.5,OVER,NYY,,,460e8384d7770ea6bbccde8506b6133cb99b3a2a,c2635e9c2adce92918318519cc64b7148db8437f,7.5,DraftKings,-110,1.9091,0.52381,100.0,100.0,,0.857143,0.700218,17.641,33.679,82.013,QUALIFIED,,0.5,0.5,MLB:8a105b91f1d12e353b0236f2f946c271af63c996:460e8384d7770ea6bbccde8506b6133cb99b3a2a:c2635e9c2adce92918318519cc64b7148db8437f:7.50:DraftKings,,false,ALT_SHADOW_QUALIFIED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,0ca4cb92aa874e95044a13829b554bd5fb96a8d1,2026-08-14T22:40:00+00:00,CWS @ DET,TOTAL,TEAM_PROP,STRIKEOUTS,DET STRIKEOUTS UNDER 8.5,UNDER,DET,,,2d25bf92e07b4ea62db70006a12ee266f7565a4e,e1d57fb3808073521cd4f2b98ee0ed2976b02ee1,8.5,DraftKings,-115,1.8696,0.53488,80.0,90.0,,0.785714,0.619416,8.454,15.806,70.665,QUALIFIED,,0.5,0.5,MLB:0ca4cb92aa874e95044a13829b554bd5fb96a8d1:2d25bf92e07b4ea62db70006a12ee266f7565a4e:e1d57fb3808073521cd4f2b98ee0ed2976b02ee1:8.50:DraftKings,,false,ALT_SHADOW_QUALIFIED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,0a0695b5ceedd8e03ad7fc7168e13abaaa63c4c4,2026-08-15T02:15:00+00:00,COL @ SF,TOTAL,TEAM_PROP,HITS,SF HITS UNDER 8.5,UNDER,SF,,,0976bd917a7d92bc3f5ed5563a5acf4466d4d217,c9d779a4e427763b595d22187e1e21f4042e0002,8.5,Hard Rock,-120,1.8333,0.54545,80.0,90.0,,0.785714,0.619416,7.397,13.557,70.665,QUALIFIED,,0.5,0.5,MLB:0a0695b5ceedd8e03ad7fc7168e13abaaa63c4c4:0976bd917a7d92bc3f5ed5563a5acf4466d4d217:c9d779a4e427763b595d22187e1e21f4042e0002:8.50:Hard Rock,,false,ALT_SHADOW_QUALIFIED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,6db6568d134f5df21219209469036a5e0afb6764,2026-08-14T23:10:00+00:00,BAL @ TB,SPREAD,GAMELINE,SPREAD,TB -1,HOME,TB,,,9ab5071dfae75d08fbe76eb8985a00ec2f42e0e7,90632001238feef0b79d93eb61f70042399c3a90,-1.0,DraftKings,-111,1.9009,0.52607,80.0,87.5,,0.75,0.566676,4.061,7.719,67.126,QUALIFIED,,0.5,0.5,MLB:6db6568d134f5df21219209469036a5e0afb6764:9ab5071dfae75d08fbe76eb8985a00ec2f42e0e7:90632001238feef0b79d93eb61f70042399c3a90:-1.00:DraftKings,,false,ALT_SHADOW_QUALIFIED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,8a105b91f1d12e353b0236f2f946c271af63c996,2026-08-14T23:15:00+00:00,NYY @ TOR,TOTAL,TEAM_PROP,STRIKEOUTS,TOR STRIKEOUTS UNDER 9.5,UNDER,TOR,,,63906fb86a763e45875297163ee41a81f8810db8,0914c1afdc043e14c8844c1a5d7793af38b854d7,9.5,DraftKings,-150,1.6667,0.6,100.0,90.0,,0.785714,0.619416,1.942,3.238,73.165,REJECTED,EVENT_EXPOSURE_CAP,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,e88e813157c3cc8b6fc6ba7b14140ce20f3397d8,2026-08-15T02:10:00+00:00,MIL @ LAD,TOTAL,TEAM_PROP,STRIKEOUTS,MIL STRIKEOUTS OVER 6.5,OVER,MIL,,,90410538512f467fb7d444ff922c22912d87e9e2,70b0fe0c96e1cd516b71c5539ffd03698139d5ef,6.5,DraftKings,-125,1.8,0.55556,80.0,80.0,,0.714286,0.543686,-1.187,-2.137,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,aa778db9a68c2bad59ee411b142bb38274926a31,2026-08-15T01:40:00+00:00,TEX @ ATH,TOTAL,TEAM_PROP,WALKS,ATH WALKS UNDER 2.5,UNDER,ATH,,,da3295a012b40b8bd863119dfc232989643e3dd1,1ce7a9d7169148d9d2c151a4155eefd045aee460,2.5,DraftKings,-125,1.8,0.55556,80.0,80.0,,0.714286,0.543686,-1.187,-2.137,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,6db6568d134f5df21219209469036a5e0afb6764,2026-08-14T23:10:00+00:00,BAL @ TB,TOTAL,TEAM_PROP,STRIKEOUTS,BAL STRIKEOUTS OVER 6.5,OVER,BAL,,,99e40266d30dfae5780bad06ca1d57e0c41ed835,e288fe3c4b20109cbf9bf7683b5f007bd6605df0,6.5,DraftKings,-125,1.8,0.55556,80.0,80.0,,0.714286,0.543686,-1.187,-2.137,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,aa778db9a68c2bad59ee411b142bb38274926a31,2026-08-15T01:40:00+00:00,TEX @ ATH,TOTAL,TEAM_PROP,RUNS,TEX RUNS UNDER 5.5,UNDER,TEX,,,e172b5cd1db0d53974f63075af25b48332d59807,3e848210a213bc1203c588e5f64d6f96c6c38c0f,5.5,Hard Rock,-175,1.5714,0.63636,100.0,90.0,,0.785714,0.619416,-1.694,-2.665,73.165,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,7fcdba132025d708ccb897487bbdf70ae514ed86,2026-08-14T23:10:00+00:00,SD @ CLE,TOTAL,TEAM_PROP,TOTAL,SD TOTAL OVER 2.5,OVER,SD,,,d170bb7f4d8f831450f3c5ee373faafa0f3ef14b,82f3049a26b9ca7fb2c315b7e26c16d7dc72c1ec,2.5,kalshi,-175.0,1.5714,0.63636,,90.0,,0.785714,0.619416,-1.694,-2.665,73.165,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,8a105b91f1d12e353b0236f2f946c271af63c996,2026-08-14T23:15:00+00:00,NYY @ TOR,SPREAD,GAMELINE,SPREAD,TOR +1.5,HOME,TOR,,,c54a8aff5dc6e303037d96f84447d1c8a6b98e8a,3cf2705cd2331d315598596510fa4536a475cd92,1.5,Hard Rock,-130,1.7692,0.56522,80.0,80.0,,0.714286,0.543686,-2.153,-3.811,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,aa778db9a68c2bad59ee411b142bb38274926a31,2026-08-15T01:40:00+00:00,TEX @ ATH,TOTAL,TEAM_PROP,RUNS,TEX RUNS UNDER 6.5,UNDER,TEX,,,e172b5cd1db0d53974f63075af25b48332d59807,851418d0cf62b765cb5ba7128b342e72eaa691e5,6.5,Hard Rock,-275,1.3636,0.73333,100.0,100.0,,0.857143,0.700218,-3.311,-4.518,82.013,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,e88e813157c3cc8b6fc6ba7b14140ce20f3397d8,2026-08-15T02:10:00+00:00,MIL @ LAD,SPREAD,GAMELINE,SPREAD,MIL +1.5,AWAY,MIL,,,f94d099e63f4a716463b46fd30e8804f3e71372f,9b5c8dbef59483fb03e0c51585a56793013235d4,1.5,Hard Rock,-135,1.7407,0.57447,80.0,80.0,,0.714286,0.543686,-3.078,-5.361,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,8a105b91f1d12e353b0236f2f946c271af63c996,2026-08-14T23:15:00+00:00,NYY @ TOR,TOTAL,TEAM_PROP,HITS,NYY HITS UNDER 8.5,UNDER,NYY,,,a5bc4be7e65e67f17a6ba4de7670c0b90e433d79,68b51c686233caf88d8f0ba1e992106412c30af3,8.5,Hard Rock,-135,1.7407,0.57447,80.0,80.0,,0.714286,0.543686,-3.078,-5.361,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,0a0695b5ceedd8e03ad7fc7168e13abaaa63c4c4,2026-08-15T02:15:00+00:00,COL @ SF,TOTAL,TEAM_PROP,STRIKEOUTS,COL STRIKEOUTS UNDER 7.5,UNDER,COL,,,a1b6ba19d5d8d7c588aacce6ad785dc9802fb4b3,bbcc5ce4a2f73ba171436da6a3beeebfd8622667,7.5,DraftKings,-135,1.7407,0.57447,100.0,80.0,,0.714286,0.543686,-3.078,-5.361,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,0a0695b5ceedd8e03ad7fc7168e13abaaa63c4c4,2026-08-15T02:15:00+00:00,COL @ SF,TOTAL,TEAM_PROP,STRIKEOUTS,SF STRIKEOUTS UNDER 8.5,UNDER,SF,,,bfd438f35a26da9a20dcb5ece86557e40194dba0,50e6ad5fdac1727a9b8843bdb0e6053699e5fbcb,8.5,DraftKings,-135,1.7407,0.57447,100.0,80.0,,0.714286,0.543686,-3.078,-5.361,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,0a0695b5ceedd8e03ad7fc7168e13abaaa63c4c4,2026-08-15T02:15:00+00:00,COL @ SF,TOTAL,TEAM_PROP,RUNS,SF RUNS UNDER 5.5,UNDER,SF,,,16b3df35d70972486adcb556480c9791d0ec1abf,c4c4940c0db80c36f2694fcb8340bab5b03d3ad7,5.5,Midnite,-300,1.3333,0.75,100.0,100.0,,0.857143,0.700218,-4.978,-6.64,82.013,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,f0ccaafc838af31a96ed2832f49e52f61c23b38f,2026-08-14T23:10:00+00:00,WSH @ NYM,TOTAL,GAMELINE,TOTAL,WSH @ NYM TOTAL OVER 7.5,OVER,,,,e5b249e95c9b178083c1ddb167199f8a3d177444,90544d637f8013e32e1089632ab6baf967bb227d,7.5,Novig,-141,1.7092,0.58506,80.0,80.0,,0.714286,0.543686,-4.137,-7.073,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
WNBA,WNBA,2c0472374a8431b56a1ef85fed8792259c12cbb5,2026-08-15T02:00:00+00:00,PDX @ SEA,TOTAL,GAMELINE,TOTAL,PDX @ SEA TOTAL OVER 176.5,OVER,,,,16b88431d1fc228316527156a32a7938df78417a,9d49d5648ec4f66696692778dda41b733ed455f0,176.5,Hard Rock,-145,1.6897,0.59184,80.0,80.0,,0.714286,0.543686,-4.815,-8.133,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:52:13.851220-04:00
MLB,MLB,e88e813157c3cc8b6fc6ba7b14140ce20f3397d8,2026-08-15T02:10:00+00:00,MIL @ LAD,SPREAD,GAMELINE,SPREAD,MIL +2.5,AWAY,MIL,,,f94d099e63f4a716463b46fd30e8804f3e71372f,2482d716678ba4022f5798026e7031f70fb6f6b6,2.5,Novig,-208,1.4808,0.67532,80.0,90.0,,0.785714,0.619416,-5.59,-8.277,70.665,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,e88e813157c3cc8b6fc6ba7b14140ce20f3397d8,2026-08-15T02:10:00+00:00,MIL @ LAD,TOTAL,TEAM_PROP,TOTAL,MIL TOTAL OVER 1.5,OVER,MIL,,,aafaa7099ebdcd43d5179ccdcb51161e9f79c5a5,50106aa6835a637d6bf9bfbd00371c241824c17e,1.5,hardrock r,-325.0,1.3077,0.76471,,100.0,,0.857143,0.700218,-6.449,-8.432,82.013,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,488b3d2d3f8e214c64f3d2f237418aa9f74fbe3b,2026-08-15T01:38:00+00:00,KC @ LAA,TOTAL,TEAM_PROP,HITS,KC HITS UNDER 8.5,UNDER,KC,,,fe483d3fb9e5169a49763fd8555a2c33eabc3ff7,29e5570aa58a27a75161e56796c56e2cc2174584,8.5,Hard Rock,-150,1.6667,0.6,80.0,80.0,,0.714286,0.543686,-5.631,-9.384,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
