date,market_id,event_id,selection,decision,line_taken,price_taken,units,rationale
2026-07-07,1ce0883f4e832fc818515237fe921ab6feef34a1,6b9951568a2403ef8e9db961fa41289998756ba7,ATL @ PIT Money Line HOME 0,PLAY,0.0,-148,1.5,Skenes vs Waldrep; 3.9% edge low-variance gameline
2026-07-07,fe5be47d3fb9143fe1dda697ff05927f84455aab,a5792e2082f91d27afe71eaf07c6774e81eae37d,DAL @ NYL Spread AWAY 3.5,PLAY,3.5,122,1.5,Sabally OUT; Fiebich Q; best WNBA EV at +3.5
2026-07-07,ac7edfbffb7cb1e3b46fa06d143aa8e5f8af0671,9bbc9783d9e2fc47ff98c5e62cf0eee27e40e5e9,James Outman - Bases UNDER 0.5,PLAY,0.5,-117,2.5,14.7% edge; single-base under lower variance
2026-07-07,1e93f2f7ffebb129f8bb650df558fc5dee749312,9bbc9783d9e2fc47ff98c5e62cf0eee27e40e5e9,Tarik Skubal - Outs UNDER 18.5,PLAY,18.5,-134,2.5,14.6% edge; ace workload under on half-line
2026-07-07,c33866fc9aff04ff0b1f7f6dffa0c6bbbddd5427,56165b9660c96938905244275a8d5061c18db98f,NYY @ TB Money Line AWAY 0,PLAY,0.0,113,1.0,3.9% edge clean game line
2026-07-07,29033259ec69e92d79c7c392fb22e92a0881936a,6b9951568a2403ef8e9db961fa41289998756ba7,Hurston Waldrep - Strikeouts OVER 4.5,LEAN,4.5,-103,0.5,Thin 0.5u vs Skenes; pitcher K variance
2026-07-07,06e39a64beaf41a51353584c828e6d79e1dad5de,0d05773eaa7b78bd3abf52f381f53ec6a3b08862,LAA @ TEX Total O/U UNDER 6.5,LEAN,6.5,132,1.0,Edge in pack but total rose 7.0 to 7.5 against under
2026-07-07,c953e5dd416492907380d7c88669533a75b0732a,a5792e2082f91d27afe71eaf07c6774e81eae37d,DAL @ NYL ML HOME 0,FADE,0.0,-178,0,90% tickets 98% money on Liberty; no EV sizing
2026-07-07,46916449d8c9ce1e731b0264b6a69782b9df7097,179a18ed7202b72e8562555c0776101e92becabd,CHI @ PHX Total O/U UNDER 176,STAND_DOWN,176.0,-115,0,push_capable_no_prob; model edge but not sized
2026-07-07,7bcde97730da891e562afad318c84a6c9b730d68,32a72102860ba82384d84adc489d93e9539684f7,Mookie Betts - Bases OVER 1.5,PASS,1.5,113,0,Excluded high-variance multi-base over per desk rules
2026-07-07,982d8a076ed89376e1e278c5137b826a03b34a43,32a72102860ba82384d84adc489d93e9539684f7,Michael Lorenzen - Outs OVER 15.5,PASS,15.5,144,0,Excluded plus-money pitcher out over
2026-07-07,bb423ab974b8ebcd7f4c16c7dddc4d7d1b6e918f,56165b9660c96938905244275a8d5061c18db98f,Ian Seymour - Outs OVER 15.5,PASS,15.5,121,0,Excluded plus-money pitcher out over
2026-07-07,d763e307b067739f72c05f33155a33abd5b82ed4,6b9951568a2403ef8e9db961fa41289998756ba7,Tyler Callihan - Bases UNDER 0.5,PASS,0.5,120,0,20.5% edge possible artifact; Braves vs Skenes day
2026-07-07,0e31a792af42e407ecaa3f92e2010584d9d0fa05,66574a84c1e984963e4079a1c1784d7121144f5e,Payton Tolle - Strikeouts UNDER 5.5,PASS,5.5,122,0,Line moved 4.5 to 5.5 against under; K variance
2026-07-07,0e4dbe802743c9267e3b1b74c822a0f7cf678f7d,6562f27fc866c1c1778099ff462caa8f1ec5daad,Andrew Alvarez - Strikeouts OVER 4.5,PASS,4.5,-108,0,Pitcher K variance excluded
2026-07-07,dabeffbeb31a9530924edc089de09aa636079323,32a72102860ba82384d84adc489d93e9539684f7,Justin Wrobleski - Strikeouts UNDER 5.5,PASS,5.5,-118,0,Pitcher K variance excluded
2026-07-07,a4f5cecb052dcc9a0c05d645d7c6896e361d51e7,179a18ed7202b72e8562555c0776101e92becabd,Skylar Diggins AST OVER 3.5,PASS,3.5,-146,0,Bench role reports conflict with AST over
2026-07-07,9cb830aaecebdd2b17ea8ced8e68ae7ea6f08574,179a18ed7202b72e8562555c0776101e92becabd,CHI @ PHX PTS UNDER 85.5,PASS,85.5,100,0,Signal only; line 83.5 to 85.5 against under
2026-07-07,a8f571e6594fb250b83a27551777ddff5a665041,a5792e2082f91d27afe71eaf07c6774e81eae37d,Arike Ogunbowale PA UNDER 14.5,PASS,14.5,-110,0,Signal only; no EV or units
